2021-2022 elo,2020-2021 elo,TEAM,CONFERENCE
1653.0,1704,Warriors,West
1703.0,1771,Celtics,East
1644.0,1693,Heat,East
1613.0,1651,Mavericks,West
1658.0,1711,Bucks,East
1643.0,1691,Suns,West
1623.0,1664,76ers,East
1602.0,1637,Grizzlies,West
1644.0,1693,Nets,East
1602.0,1636,Jazz,West
1593.0,1624,Hawks,East
1590.0,1621,Pelicans,West
1578.0,1604,Nuggets,West
1574.0,1599,Raptors,East
1561.0,1582,Timberwolves,West
1480.0,1474,Bulls,East
1636.0,1682,Clippers,West
1524.0,1533,Hornets,East
1518.0,1524,Knicks,East
1505.0,1507,Cavaliers,East
1475.0,1467,Spurs,West
1473.0,1465,Kings,West
1448.0,1431,Pacers,East
1431.0,1408,Lakers,West
1372.0,1330,Pistons,East
1350.0,1301,Wizards,East
1348.0,1298,Magic,East
1333.0,1278,Rockets,West
1269.0,1192,Trail Blazers,West
1204.0,1106,Thunder,West
